recording_name,audio_beat_id,audio_beat_time_s,frame_time_s,frame_index,frame_path,extraction_ok,n_peaks,n_candidate_beats,baseline,direction,error
candidate_long_quality_test,17,14.176,14.166666666666666,425,D:\code\DopplerLab\beat_frames\candidate_long_quality_test\candidate_long_quality_test_beat_0017_t14.176s_frame_000425.png,True,4,3,146,above,
candidate_long_quality_test,18,14.976,14.966666666666667,449,D:\code\DopplerLab\beat_frames\candidate_long_quality_test\candidate_long_quality_test_beat_0018_t14.976s_frame_000449.png,True,4,3,146,above,
candidate_long_quality_test,19,15.797333333333333,15.8,474,D:\code\DopplerLab\beat_frames\candidate_long_quality_test\candidate_long_quality_test_beat_0019_t15.797s_frame_000474.png,True,4,3,146,above,
candidate_long_quality_test,20,16.613333333333333,16.6,498,D:\code\DopplerLab\beat_frames\candidate_long_quality_test\candidate_long_quality_test_beat_0020_t16.613s_frame_000498.png,True,4,3,146,above,
candidate_long_quality_test,21,17.418666666666667,17.433333333333334,523,D:\code\DopplerLab\beat_frames\candidate_long_quality_test\candidate_long_quality_test_beat_0021_t17.419s_frame_000523.png,True,4,3,146,above,
candidate_long_quality_test,22,18.224,18.233333333333334,547,D:\code\DopplerLab\beat_frames\candidate_long_quality_test\candidate_long_quality_test_beat_0022_t18.224s_frame_000547.png,True,4,3,146,above,
candidate_long_quality_test,23,19.077333333333332,19.066666666666666,572,D:\code\DopplerLab\beat_frames\candidate_long_quality_test\candidate_long_quality_test_beat_0023_t19.077s_frame_000572.png,True,4,3,146,above,
candidate_long_quality_test,24,19.904,19.9,597,D:\code\DopplerLab\beat_frames\candidate_long_quality_test\candidate_long_quality_test_beat_0024_t19.904s_frame_000597.png,True,4,3,146,above,
candidate_long_quality_test,25,20.730666666666668,20.733333333333334,622,D:\code\DopplerLab\beat_frames\candidate_long_quality_test\candidate_long_quality_test_beat_0025_t20.731s_frame_000622.png,True,4,3,146,above,
candidate_long_quality_test,26,21.568,21.566666666666666,647,D:\code\DopplerLab\beat_frames\candidate_long_quality_test\candidate_long_quality_test_beat_0026_t21.568s_frame_000647.png,True,4,3,146,above,
candidate_long_quality_test,28,23.28,23.266666666666666,698,D:\code\DopplerLab\beat_frames\candidate_long_quality_test\candidate_long_quality_test_beat_0028_t23.280s_frame_000698.png,True,4,3,146,above,
candidate_long_quality_test,32,26.72,26.733333333333334,802,D:\code\DopplerLab\beat_frames\candidate_long_quality_test\candidate_long_quality_test_beat_0032_t26.720s_frame_000802.png,True,1,0,146,above,
