beat_id,is_complete_beat,beat_quality_reason,psv_local,psv_global,psv_value_px,next_psv_local,next_psv_global,first_valley_local,first_valley_global,first_valley_value_px,secondary_peak_local,secondary_peak_global,secondary_peak_value_px,cycle_length_px,time_to_valley_px,time_to_secondary_peak_px,valley_to_psv_ratio,secondary_to_psv_ratio,ri_proxy,recording_name,audio_beat_id,audio_beat_time_s,frame_time_s,frame_index,frame_path,extraction_baseline,extraction_direction,n_frame_peaks,slope_cm_s_per_px,baseline_y_global,calibration_status,cm_s_per_px,psv_cm_s,edv_proxy_cm_s,secondary_peak_cm_s,ri_calibrated
1,False,valley_too_late;missing_secondary_peak,140,150,103.61752206603312,283,293,265,275,13.824307144673227,,,,143,125,,0.13341669313287868,,0.8665833068671213,candidate_2,18,16.202666666666666,16.2,486,D:\code\DopplerLab\beat_frames\candidate_2\candidate_2_beat_0018_t16.203s_frame_000486.png,146,above,3,-0.21977800811085518,376.0,PASS,0.21977800811085518,22.77285260505534,3.038278687768946,,0.8665833068671214
2,False,valley_too_late;missing_secondary_peak,283,293,102.61686825759908,428,438,409,419,13.400130761686771,,,,145,126,,0.13058409391376502,,0.869415906086235,candidate_2,18,16.202666666666666,16.2,486,D:\code\DopplerLab\beat_frames\candidate_2\candidate_2_beat_0018_t16.203s_frame_000486.png,146,above,3,-0.21977800811085518,376.0,PASS,0.21977800811085518,22.552930904229168,2.945054047228515,,0.8694159060862351
1,False,valley_too_late;missing_secondary_peak,138,148,102.41386073880206,283,293,264,274,13.167048054919853,,,,145,126,,0.12856705098249643,,0.8714329490175037,candidate_2,19,17.072,17.066666666666666,512,D:\code\DopplerLab\beat_frames\candidate_2\candidate_2_beat_0019_t17.072s_frame_000512.png,146,above,3,-0.21977800811085518,376.0,PASS,0.21977800811085518,22.508314316116433,2.893827594210195,,0.8714329490175037
2,False,valley_too_late;missing_secondary_peak,283,293,103.64923177508838,425,435,407,417,13.545930042497478,,,,142,124,,0.13069011521369694,,0.8693098847863031,candidate_2,19,17.072,17.066666666666666,512,D:\code\DopplerLab\beat_frames\candidate_2\candidate_2_beat_0019_t17.072s_frame_000512.png,146,above,3,-0.21977800811085518,376.0,PASS,0.21977800811085518,22.779821701749285,2.9770975227490877,,0.8693098847863031
1,False,valley_too_late;missing_secondary_peak,139,149,103.24517816279679,281,291,263,273,14.229486760379105,,,,142,124,,0.13782228878468375,,0.8621777112153163,candidate_2,20,17.946666666666665,17.933333333333334,538,D:\code\DopplerLab\beat_frames\candidate_2\candidate_2_beat_0020_t17.947s_frame_000538.png,146,above,3,-0.21977800811085518,376.0,PASS,0.21977800811085518,22.69101960366984,3.1273282566359053,,0.8621777112153162
2,False,valley_too_late;missing_secondary_peak,281,291,99.78195488721667,428,438,409,419,13.64988558352394,,,,147,128,,0.13679713530319562,,0.8632028646968044,candidate_2,20,17.946666666666665,17.933333333333334,538,D:\code\DopplerLab\beat_frames\candidate_2\candidate_2_beat_0020_t17.947s_frame_000538.png,146,above,3,-0.21977800811085518,376.0,PASS,0.21977800811085518,21.92987929051969,2.9999446644879697,,0.8632028646968044
1,False,valley_too_late;missing_secondary_peak,137,147,100.08434128800116,283,293,265,275,13.905851585485419,,,,146,128,,0.13894133094676772,,0.8610586690532323,candidate_2,21,18.816,18.8,564,D:\code\DopplerLab\beat_frames\candidate_2\candidate_2_beat_0021_t18.816s_frame_000564.png,146,above,3,-0.21977800811085518,376.0,PASS,0.21977800811085518,21.996337171363916,3.0562003625431626,,0.8610586690532323
2,False,valley_too_late;missing_secondary_peak,283,293,94.90912062765472,428,438,410,420,12.457012095455983,,,,145,127,,0.13125200205285906,,0.868747997947141,candidate_2,21,18.816,18.8,564,D:\code\DopplerLab\beat_frames\candidate_2\candidate_2_beat_0021_t18.816s_frame_000564.png,146,above,3,-0.21977800811085518,376.0,PASS,0.21977800811085518,20.85893748309883,2.737777305352146,,0.868747997947141
1,False,valley_too_late;missing_secondary_peak,138,148,94.88787185354559,284,294,266,276,12.36482510624383,,,,146,128,,0.1303098579903687,,0.8696901420096314,candidate_2,22,19.68,19.666666666666668,590,D:\code\DopplerLab\beat_frames\candidate_2\candidate_2_beat_0022_t19.680s_frame_000590.png,146,above,3,-0.21977800811085518,376.0,PASS,0.21977800811085518,20.85426746985033,2.717516632489362,,0.8696901420096314
2,False,valley_too_late;missing_secondary_peak,284,294,99.79993461915512,427,437,402,412,16.145799280810497,,,,143,118,,0.16178166190613463,,0.8382183380938654,candidate_2,22,19.68,19.666666666666668,590,D:\code\DopplerLab\beat_frames\candidate_2\candidate_2_beat_0022_t19.680s_frame_000590.png,146,above,3,-0.21977800811085518,376.0,PASS,0.21977800811085518,21.93383084019149,3.5484916052942093,,0.8382183380938654
1,False,valley_too_late;missing_secondary_peak,139,149,99.27590715920091,282,292,264,274,14.448367295049167,,,,143,125,,0.14553749956552361,,0.8544625004344764,candidate_2,23,20.549333333333333,20.533333333333335,616,D:\code\DopplerLab\beat_frames\candidate_2\candidate_2_beat_0023_t20.549s_frame_000616.png,146,above,3,-0.21977800811085518,376.0,PASS,0.21977800811085518,21.818661128847364,3.1754333845599305,,0.8544625004344764
2,False,valley_too_late;missing_secondary_peak,282,292,95.65021248773974,426,436,407,417,10.493952271984256,,,,144,125,,0.10971175075360497,,0.890288249246395,candidate_2,23,20.549333333333333,20.533333333333335,616,D:\code\DopplerLab\beat_frames\candidate_2\candidate_2_beat_0023_t20.549s_frame_000616.png,146,above,3,-0.21977800811085518,376.0,PASS,0.21977800811085518,21.021813175935485,2.306339927547083,,0.890288249246395
1,False,valley_too_late;missing_secondary_peak,132,142,96.38934292252232,276,286,258,268,10.580091533180772,,,,144,126,,0.10976412134778263,,0.8902358786522173,candidate_2,24,21.429333333333332,21.433333333333334,643,D:\code\DopplerLab\beat_frames\candidate_2\candidate_2_beat_0024_t21.429s_frame_000643.png,146,above,3,-0.21977800811085518,376.0,PASS,0.21977800811085518,21.184257790626113,2.325271442792994,,0.8902358786522173
2,False,valley_too_late;missing_secondary_peak,276,286,98.85714285714145,422,432,403,413,11.059905197776999,,,,146,127,,0.11187765373474001,,0.88812234626526,candidate_2,24,21.429333333333332,21.433333333333334,643,D:\code\DopplerLab\beat_frames\candidate_2\candidate_2_beat_0024_t21.429s_frame_000643.png,146,above,3,-0.21977800811085518,376.0,PASS,0.21977800811085518,21.726625944672804,2.4307239342623226,,0.8881223462652601
1,False,valley_too_late;missing_secondary_peak,138,148,98.74207257273476,284,294,265,275,11.059905197776999,,,,146,127,,0.11200803172963705,,0.887991968270363,candidate_2,25,22.272,22.266666666666666,668,D:\code\DopplerLab\beat_frames\candidate_2\candidate_2_beat_0025_t22.272s_frame_000668.png,146,above,3,-0.21977800811085518,376.0,PASS,0.21977800811085518,21.70133602677315,2.4307239342623226,,0.887991968270363
2,False,valley_too_late;missing_secondary_peak,284,294,97.25858123569654,429,439,410,420,10.200528495150905,,,,145,126,,0.10488049862079454,,0.8951195013792055,candidate_2,25,22.272,22.266666666666666,668,D:\code\DopplerLab\beat_frames\candidate_2\candidate_2_beat_0025_t22.272s_frame_000668.png,146,above,3,-0.21977800811085518,376.0,PASS,0.21977800811085518,21.37529725566918,2.241851834342285,,0.8951195013792055
1,False,valley_too_late;missing_secondary_peak,145,155,97.45766590388877,289,299,271,281,10.37103628636807,,,,144,126,,0.10641580824022427,,0.8935841917597758,candidate_2,26,23.098666666666666,23.1,693,D:\code\DopplerLab\beat_frames\candidate_2\candidate_2_beat_0026_t23.099s_frame_000693.png,146,above,3,-0.21977800811085518,376.0,PASS,0.21977800811085518,21.41905168748988,2.279325697063375,,0.8935841917597758
2,False,valley_too_late;missing_secondary_peak,289,299,98.11539718862235,430,440,412,422,11.193854200719212,,,,141,123,,0.1140886601029555,,0.8859113398970444,candidate_2,26,23.098666666666666,23.1,693,D:\code\DopplerLab\beat_frames\candidate_2\candidate_2_beat_0026_t23.099s_frame_000693.png,146,above,3,-0.21977800811085518,376.0,PASS,0.21977800811085518,21.56360655912082,2.4601629793173974,,0.8859113398970446
1,False,valley_too_late;missing_secondary_peak,2,12,93.92929953341856,146,156,127,137,11.895340357582894,,,,144,125,,0.12664142516415466,,0.8733585748358453,candidate_2,27,23.968,23.966666666666665,719,D:\code\DopplerLab\beat_frames\candidate_2\candidate_2_beat_0027_t23.968s_frame_000719.png,146,above,4,-0.21977800811085518,376.0,PASS,0.21977800811085518,20.64359435470261,2.614334209590236,,0.8733585748358453
